# Main file: Tests/pb2/output.csv
numIteration,tail,head,freeFlowCost,actualCost,capacity,flow
11,2,3,0,0,10,0
11,2,5,0,90,10,0
11,2,6,0,270.482,10,10
11,3,4,360,372.813,10,6.97936
11,4,1,0,0,10,0
11,4,7,0,0,10,6.97936
11,5,6,360,270.45,10,3.02064
11,6,7,0,0,10,3.02064
11,6,8,0,37.4837,10,10
11,9,10,0,0,10,0
11,9,12,0,90,10,0
11,9,13,0,284.837,10,10
11,10,11,360,360.292,10,2.71271
11,11,0,0,0,10,0
11,11,14,0,0,10,2.71271
11,12,13,360,285.228,10,7.28729
11,13,14,0,0,10,7.28729
11,13,15,0,36.0482,10,10
12,0,1,36,36.0477,10,3.06557
12,0,3,0,0,10,6.93443
12,0,8,0,0,10,0
12,0,12,4,35.0905,3,7.30475
12,1,0,36,37.5375,10,7.30475
12,1,5,4,66.8488,1,3.06557
12,1,10,0,0,10,2.69525
12,1,15,0,0,10,0
12,2,3,0,0,10,0
12,2,5,0,90,10,0
12,2,6,0,270.45,10,10
12,3,4,360,372.486,10,6.93443
12,4,1,0,0,10,0
12,4,7,0,0,10,6.93443
12,5,6,360,270.477,10,3.06557
12,6,7,0,0,10,3.06557
12,6,8,0,37.5228,10,10
12,9,10,0,0,10,0
12,9,12,0,90,10,0
12,9,13,0,285.228,10,10
12,10,11,360,360.285,10,2.69525
12,11,0,0,0,10,0
12,11,14,0,0,10,2.69525
12,12,13,360,285.375,10,7.30475
12,13,14,0,0,10,7.30475
12,13,15,0,36.045,10,10
13,0,1,36,36.0457,10,3.03314
13,0,3,0,0,10,6.96686
13,0,8,0,0,10,0
13,0,12,4,35.4217,3,7.33326
13,1,0,36,37.5616,10,7.33326
13,1,5,4,64.7476,1,3.03314
13,1,10,0,0,10,2.66674
13,1,15,0,0,10,0
13,2,3,0,0,10,0
13,2,5,0,90,10,0
13,2,6,0,270.477,10,10
13,3,4,360,372.722,10,6.96686
13,4,1,0,0,10,0
13,4,7,0,0,10,6.96686
13,5,6,360,270.457,10,3.03314
13,6,7,0,0,10,3.03314
13,6,8,0,37.5375,10,10
13,9,10,0,0,10,0
13,9,12,0,90,10,0
13,9,13,0,285.375,10,10
13,10,11,360,360.273,10,2.66674
13,11,0,0,0,10,0
13,11,14,0,0,10,2.66674
13,12,13,360,285.616,10,7.33326
13,13,14,0,0,10,7.33326
13,13,15,0,36.0477,10,10
14,0,1,36,36.0474,10,3.06097
14,0,3,0,0,10,6.93903
14,0,8,0,0,10,0
14,0,12,4,35.5464,3,7.34391
14,1,0,36,37.5707,10,7.34391
14,1,5,4,66.5509,1,3.06097
14,1,10,0,0,10,2.65609
14,1,15,0,0,10,0
14,2,3,0,0,10,0
14,2,5,0,90,10,0
14,2,6,0,270.457,10,10
14,3,4,360,372.52,10,6.93903
14,4,1,0,0,10,0
14,4,7,0,0,10,6.93903
14,5,6,360,270.474,10,3.06097
14,6,7,0,0,10,3.06097
14,6,8,0,37.5616,10,10
14,9,10,0,0,10,0
14,9,12,0,90,10,0
14,9,13,0,285.616,10,10
14,10,11,360,360.269,10,2.65609
14,11,0,0,0,10,0
14,11,14,0,0,10,2.65609
14,12,13,360,285.707,10,7.34391
14,13,14,0,0,10,7.34391
14,13,15,0,36.0457,10,10
15,0,1,36,36.0462,10,3.04068
15,0,3,0,0,10,6.95932
15,0,8,0,0,10,0
15,0,12,4,35.7538,3,7.36152
15,1,0,36,37.5859,10,7.36152
15,1,5,4,65.236,1,3.04068
15,1,10,0,0,10,2.63848
15,1,15,0,0,10,0
15,2,3,0,0,10,0
