# Input graph: amod_fw/data/elastic_Pb2/exp/1_0/graph.gr.bin
# OD-pairs: amod_fw/data/elastic_Pb2/exp/1_0/od.csv
# Objective: UE
# Function: elastic
# Shortest-path algo: ch
# Period of analysis: 1h
# Sampling intervals: [1@1]
# Preprocessing time: 0ms
iteration,sampling_interval,customization_time,query_time,line_search_time,total_time,avg_change,max_change,obj_function_value,total_travel_cost,checksum
138,1,0,0,4,4,5.40466e-05,0.000106855,464365,739949,739900
139,1,0,0,1,1,6.77214e-05,0.000109433,464432,739979,739870
140,1,0,0,2,2,4.03943e-05,0.000106855,464331,739951,739900
141,1,0,0,3,3,8.07788e-05,0.000160265,464411,739963,739860
142,1,0,0,4,4,6.71337e-05,0.000160291,464324,739946,739890
143,1,0,0,5,5,6.70996e-05,0.000160265,464400,739957,739840
144,1,0,0,3,3,5.4048e-05,0.00010686,464334,739942,739880
145,1,0,0,2,2,6.77485e-05,0.000109433,464762,740019,739870
146,1,0,0,9,9,0.000147936,0.000214098,465066,740059,739940
147,1,0,0,1,1,9.47251e-05,0.000163836,465139,740114,739990
148,1,0,0,1,1,5.37633e-05,0.00010682,465022,740082,740030
149,1,0,0,3,3,0.000107789,0.000160214,465105,740095,739970
150,1,0,0,22,22,8.04686e-05,0.000160239,465015,740077,740030
151,1,0,0,1,1,8.04586e-05,0.000160214,465093,740088,739970
152,1,0,0,0,0,5.37371e-05,0.000106826,465005,740071,740010
153,1,0,0,0,0,5.37328e-05,0.000106815,465082,740083,739970
154,1,0,0,1,1,5.37371e-05,0.000106826,464995,740066,740010
155,1,0,0,3,3,5.37328e-05,0.000106815,465071,740077,739970
156,1,0,0,1,1,4.06847e-05,5.47166e-05,464999,740061,740000
157,1,0,0,0,0,5.43609e-05,0.000109427,465063,740088,739980
158,1,0,0,2,2,2.70332e-05,5.47196e-05,464958,740060,740000
159,1,0,0,2,2,9.41442e-05,0.000160231,465037,740072,739950
160,1,0,0,3,3,9.41534e-05,0.000160256,464950,740054,740000
161,1,0,0,2,2,8.07659e-05,0.000160231,465026,740066,739960
162,1,0,0,15,15,6.70946e-05,0.000160256,464940,740049,740010
163,1,0,0,8,8,6.70867e-05,0.000160231,465015,740060,739960
164,1,0,0,0,0,2.67094e-05,0.000106838,464946,740044,739980
165,1,0,0,3,3,6.77137e-05,0.000109212,465341,740117,739990
166,1,0,0,6,6,0.000107769,0.0001638,465413,740129,740010
167,1,0,0,8,8,4.06832e-05,5.47166e-05,465320,740109,740040
168,1,0,0,3,3,5.43325e-05,0.000109212,465390,740143,740040
169,1,0,0,8,8,4.0681e-05,5.47166e-05,465294,740114,740050
170,1,0,0,12,12,5.37299e-05,0.000106809,465371,740126,740010
171,1,0,0,0,0,5.37342e-05,0.00010682,465285,740109,740050
172,1,0,0,0,0,5.37299e-05,0.000106809,465359,740120,740010
173,1,0,0,0,0,5.37342e-05,0.00010682,465275,740103,740050
